Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
3_0;Selection Sort;60;0.005000;0.005000;30;1770
3_0;Merge Sort;60;0.004000;0.004000;0;172
3_0;Quick Sort;60;0.008000;0.008000;900;1770
3_0;Shell Sort;60;0.003000;0.003000;168;357
4_11;Insertion Sort;60;0.001400;0.001400;0;309
4_11;Selection Sort;60;0.004400;0.004000;6;1770
4_11;Merge Sort;60;0.003800;0.003400;0;264
4_11;Quick Sort;60;0.003800;0.003400;509;738
4_11;Shell Sort;60;0.002000;0.001800;116;351
1_0;Insertion Sort;70;0.004600;0.004000;0;1301
1_0;Selection Sort;70;0.006600;0.007000;64;2415
1_0;Merge Sort;70;0.004600;0.004000;0;350
1_0;Quick Sort;70;0.002400;0.002400;235;445
1_0;Shell Sort;70;0.002800;0.003200;236;548
2_0;Insertion Sort;70;0.003000;0.001000;0;69
2_0;Selection Sort;70;0.006000;0.006000;0;2415
2_0;Merge Sort;70;0.004000;0.004000;0;227
2_0;Quick Sort;70;0.011000;0.011000;2415;2415
2_0;Shell Sort;70;0.001000;0.001000;0;353
3_0;Insertion Sort;70;0.011000;0.008000;0;2415
3_0;Selection Sort;70;0.006000;0.006000;35;2415
3_0;Merge Sort;70;0.005000;0.004000;0;205
3_0;Quick Sort;70;0.009000;0.008000;1225;2415
3_0;Shell Sort;70;0.002000;0.003000;201;490
4_60;Insertion Sort;70;0.003200;0.002600;0;955
4_60;Selection Sort;70;0.006800;0.006200;39;2415
4_60;Merge Sort;70;0.004400;0.004400;0;341
4_60;Quick Sort;70;0.002600;0.002600;276;448
4_60;Shell Sort;70;0.002800;0.002800;197;524
1_0;Insertion Sort;80;0.004600;0.004200;0;1729
1_0;Selection Sort;80;0.009600;0.009400;76;3160
1_0;Merge Sort;80;0.005600;0.005600;0;415
1_0;Quick Sort;80;0.002400;0.002200;218;430
1_0;Shell Sort;80;0.003600;0.003800;282;640
2_0;Insertion Sort;80;0.003000;0.001000;0;79
2_0;Selection Sort;80;0.007000;0.007000;0;3160
2_0;Merge Sort;80;0.005000;0.004000;0;272
